[36mRunning:[0m input.txt
00: seti [123, 0, 3] at [0, 0, 0, 123, 0, 0]
18: addi [1, 1, 5] at [0, 21, 18, 14290240, 65536, 22]
19: muli [5, 256, 5] at [0, 21, 19, 14290240, 65536, 5632]
20: gtrr [5, 4, 5] at [0, 21, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 21, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 21, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 22, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 22, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 22, 18, 14290240, 65536, 23]
19: muli [5, 256, 5] at [0, 22, 19, 14290240, 65536, 5888]
20: gtrr [5, 4, 5] at [0, 22, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 22, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 22, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 23, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 23, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 23, 18, 14290240, 65536, 24]
19: muli [5, 256, 5] at [0, 23, 19, 14290240, 65536, 6144]
20: gtrr [5, 4, 5] at [0, 23, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 23, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 23, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 24, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 24, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 24, 18, 14290240, 65536, 25]
19: muli [5, 256, 5] at [0, 24, 19, 14290240, 65536, 6400]
20: gtrr [5, 4, 5] at [0, 24, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 24, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 24, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 25, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 25, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 25, 18, 14290240, 65536, 26]
19: muli [5, 256, 5] at [0, 25, 19, 14290240, 65536, 6656]
20: gtrr [5, 4, 5] at [0, 25, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 25, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 25, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 26, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 26, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 26, 18, 14290240, 65536, 27]
19: muli [5, 256, 5] at [0, 26, 19, 14290240, 65536, 6912]
20: gtrr [5, 4, 5] at [0, 26, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 26, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 26, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 27, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 27, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 27, 18, 14290240, 65536, 28]
19: muli [5, 256, 5] at [0, 27, 19, 14290240, 65536, 7168]
20: gtrr [5, 4, 5] at [0, 27, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 27, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 27, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 28, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 28, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 28, 18, 14290240, 65536, 29]
19: muli [5, 256, 5] at [0, 28, 19, 14290240, 65536, 7424]
20: gtrr [5, 4, 5] at [0, 28, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 28, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 28, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 29, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 29, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 29, 18, 14290240, 65536, 30]
19: muli [5, 256, 5] at [0, 29, 19, 14290240, 65536, 7680]
20: gtrr [5, 4, 5] at [0, 29, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 29, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 29, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 30, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 30, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 30, 18, 14290240, 65536, 31]
19: muli [5, 256, 5] at [0, 30, 19, 14290240, 65536, 7936]
20: gtrr [5, 4, 5] at [0, 30, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 30, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 30, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 31, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 31, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 31, 18, 14290240, 65536, 32]
19: muli [5, 256, 5] at [0, 31, 19, 14290240, 65536, 8192]
20: gtrr [5, 4, 5] at [0, 31, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 31, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 31, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 32, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 32, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 32, 18, 14290240, 65536, 33]
19: muli [5, 256, 5] at [0, 32, 19, 14290240, 65536, 8448]
20: gtrr [5, 4, 5] at [0, 32, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 32, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 32, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 33, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 33, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 33, 18, 14290240, 65536, 34]
19: muli [5, 256, 5] at [0, 33, 19, 14290240, 65536, 8704]
20: gtrr [5, 4, 5] at [0, 33, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 33, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 33, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 34, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 34, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 34, 18, 14290240, 65536, 35]
19: muli [5, 256, 5] at [0, 34, 19, 14290240, 65536, 8960]
20: gtrr [5, 4, 5] at [0, 34, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 34, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 34, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 35, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 35, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 35, 18, 14290240, 65536, 36]
19: muli [5, 256, 5] at [0, 35, 19, 14290240, 65536, 9216]
20: gtrr [5, 4, 5] at [0, 35, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 35, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 35, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 36, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 36, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 36, 18, 14290240, 65536, 37]
19: muli [5, 256, 5] at [0, 36, 19, 14290240, 65536, 9472]
20: gtrr [5, 4, 5] at [0, 36, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 36, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 36, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 37, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 37, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 37, 18, 14290240, 65536, 38]
19: muli [5, 256, 5] at [0, 37, 19, 14290240, 65536, 9728]
20: gtrr [5, 4, 5] at [0, 37, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 37, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 37, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 38, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 38, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 38, 18, 14290240, 65536, 39]
19: muli [5, 256, 5] at [0, 38, 19, 14290240, 65536, 9984]
20: gtrr [5, 4, 5] at [0, 38, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 38, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 38, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 39, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 39, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 39, 18, 14290240, 65536, 40]
19: muli [5, 256, 5] at [0, 39, 19, 14290240, 65536, 10240]
20: gtrr [5, 4, 5] at [0, 39, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 39, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 39, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 40, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 40, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 40, 18, 14290240, 65536, 41]
19: muli [5, 256, 5] at [0, 40, 19, 14290240, 65536, 10496]
20: gtrr [5, 4, 5] at [0, 40, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 40, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 40, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 41, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 41, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 41, 18, 14290240, 65536, 42]
19: muli [5, 256, 5] at [0, 41, 19, 14290240, 65536, 10752]
20: gtrr [5, 4, 5] at [0, 41, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 41, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 41, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 42, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 42, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 42, 18, 14290240, 65536, 43]
19: muli [5, 256, 5] at [0, 42, 19, 14290240, 65536, 11008]
20: gtrr [5, 4, 5] at [0, 42, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 42, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 42, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 43, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 43, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 43, 18, 14290240, 65536, 44]
19: muli [5, 256, 5] at [0, 43, 19, 14290240, 65536, 11264]
20: gtrr [5, 4, 5] at [0, 43, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 43, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 43, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 44, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 44, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 44, 18, 14290240, 65536, 45]
19: muli [5, 256, 5] at [0, 44, 19, 14290240, 65536, 11520]
20: gtrr [5, 4, 5] at [0, 44, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 44, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 44, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 45, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 45, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 45, 18, 14290240, 65536, 46]
19: muli [5, 256, 5] at [0, 45, 19, 14290240, 65536, 11776]
20: gtrr [5, 4, 5] at [0, 45, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 45, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 45, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 46, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 46, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 46, 18, 14290240, 65536, 47]
19: muli [5, 256, 5] at [0, 46, 19, 14290240, 65536, 12032]
20: gtrr [5, 4, 5] at [0, 46, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 46, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 46, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 47, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 47, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 47, 18, 14290240, 65536, 48]
19: muli [5, 256, 5] at [0, 47, 19, 14290240, 65536, 12288]
20: gtrr [5, 4, 5] at [0, 47, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 47, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 47, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 48, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 48, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 48, 18, 14290240, 65536, 49]
19: muli [5, 256, 5] at [0, 48, 19, 14290240, 65536, 12544]
20: gtrr [5, 4, 5] at [0, 48, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 48, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 48, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 49, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 49, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 49, 18, 14290240, 65536, 50]
19: muli [5, 256, 5] at [0, 49, 19, 14290240, 65536, 12800]
20: gtrr [5, 4, 5] at [0, 49, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 49, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 49, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 50, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 50, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 50, 18, 14290240, 65536, 51]
19: muli [5, 256, 5] at [0, 50, 19, 14290240, 65536, 13056]
20: gtrr [5, 4, 5] at [0, 50, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 50, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 50, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 51, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 51, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 51, 18, 14290240, 65536, 52]
19: muli [5, 256, 5] at [0, 51, 19, 14290240, 65536, 13312]
20: gtrr [5, 4, 5] at [0, 51, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 51, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 51, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 52, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 52, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 52, 18, 14290240, 65536, 53]
19: muli [5, 256, 5] at [0, 52, 19, 14290240, 65536, 13568]
